turns,max_tiles,min_tiles,piece_distributions
185,7,-4,"{0: 569, 2: 298, 4: 197, -2: 120, 8: 157, -4: 10, 16: 130, 32: 79, 64: 80, 128: 25}"
232,7,-4,"{2: 337, 0: 629, 4: 302, 8: 181, -2: 135, 16: 138, 32: 115, 64: 117, -4: 24, 128: 110}"
220,7,-2,"{0: 607, 2: 331, -2: 142, 4: 258, 8: 164, 16: 104, 32: 120, -4: 27, -8: 22, 64: 98, 128: 107}"
242,7,-4,"{-2: 169, 0: 702, 2: 341, 4: 283, 8: 191, 16: 165, 32: 101, 64: 122, -4: 22, -8: 6, 128: 76}"
220,7,-4,"{0: 663, 2: 347, -2: 145, 4: 221, -4: 28, 8: 142, 16: 174, 32: 81, 64: 97, 128: 82}"
148,6,-2,"{0: 486, 2: 207, -2: 110, 4: 174, 8: 95, -4: 13, 16: 104, -8: 9, 32: 83, 64: 51}"
206,7,-2,"{0: 609, -2: 132, 2: 311, 4: 243, 8: 223, 16: 106, -4: 16, 32: 93, 64: 85, 128: 36}"
122,6,2,"{0: 411, -2: 77, 2: 177, 4: 136, -4: 7, 8: 112, 16: 66, 32: 59, 64: 53}"
134,6,2,"{0: 393, 4: 159, 2: 208, -2: 84, -4: 3, 8: 128, 16: 85, 32: 69, 64: 77}"
89,5,-2,"{0: 279, 2: 137, 4: 116, -2: 41, -4: 4, 8: 85, 16: 60, 32: 79}"
106,6,-2,"{0: 328, 2: 187, 4: 112, 8: 99, -2: 61, -4: 11, 16: 72, 32: 38, 64: 46}"
235,7,-2,"{0: 707, 4: 303, -2: 191, 2: 364, -4: 35, 8: 177, 16: 113, 32: 82, 64: 52, 128: 91}"
349,7,2,"{0: 901, 2: 461, 4: 344, -2: 299, 8: 228, -4: 94, 16: 302, 32: 195, -8: 42, 64: 102, 128: 173}"
135,6,-8,"{0: 469, -2: 113, 2: 190, 4: 130, 8: 99, 16: 62, -4: 15, 32: 77, 64: 54, -8: 6}"
58,5,-4,"{0: 218, 2: 92, -2: 24, 4: 65, 8: 46, 16: 36, 32: 38, -4: 3}"
159,6,2,"{2: 257, 0: 459, 4: 148, -2: 92, 8: 138, 16: 127, 32: 79, -4: 29, 64: 102}"
245,7,-2,"{0: 754, -2: 140, 2: 379, 4: 227, 8: 200, 16: 168, 32: 102, -4: 27, 64: 96, 128: 112}"
163,6,-2,"{0: 560, 2: 206, 4: 175, -2: 128, -4: 21, 8: 147, 16: 97, 32: 52, 64: 81}"
180,7,2,"{0: 467, 2: 284, 4: 245, 8: 178, -2: 95, -4: 14, 16: 130, 32: 99, 64: 44, 128: 64}"
147,6,-4,"{0: 526, 2: 217, -2: 104, 4: 153, 8: 97, 16: 103, -4: 14, 32: 72, 64: 37}"
126,6,-2,"{0: 449, -2: 85, 4: 148, 2: 163, 8: 85, 16: 80, -4: 24, 32: 54, 64: 46}"
211,7,-2,"{0: 676, 2: 285, 4: 195, -2: 150, -4: 39, 8: 251, 16: 105, 32: 64, 64: 73, 128: 61}"
179,6,-4,"{0: 601, -2: 138, 2: 228, 4: 168, 8: 139, 16: 151, -4: 19, 32: 89, 64: 78}"
121,6,-2,"{0: 429, 2: 189, -2: 91, 4: 125, -4: 12, 8: 98, 16: 68, 32: 41, 64: 36}"
99,6,2,"{0: 296, 2: 173, 4: 127, -2: 47, 8: 85, 16: 73, -4: 1, 32: 62, 64: 27}"
204,7,2,"{0: 511, 2: 312, 4: 257, -2: 137, 8: 173, 16: 121, 32: 167, -4: 23, 64: 69, 128: 66}"
216,7,-4,"{-2: 134, 0: 648, -4: 26, 2: 328, 4: 211, 8: 199, 16: 137, 32: 104, 64: 91, 128: 66}"
244,7,2,"{0: 773, 2: 343, -2: 193, 4: 263, 8: 174, -4: 17, 16: 192, 32: 87, 64: 82, 128: 72}"
157,6,2,"{0: 484, 2: 232, -2: 106, 4: 175, 8: 129, -4: 27, 16: 86, 32: 95, 64: 79}"
207,7,-4,"{0: 589, 4: 248, 2: 250, -2: 190, -4: 30, 8: 209, 16: 131, 32: 94, 64: 91, 128: 31}"
103,6,-4,"{2: 154, 0: 316, 4: 114, 8: 82, -2: 68, -4: 13, 16: 74, 32: 63, 64: 43}"
