turns,max_tiles,min_tiles,piece_distributions
93,5,-1,"{0: 198, 1: 174, -1: 97, 2: 102, -2: 45, 3: 123, 4: 81, -3: 10, 5: 16}"
64,4,-1,"{0: 200, 1: 118, -1: 81, -2: 23, 2: 100, 3: 32, 4: 31}"
37,4,-2,"{0: 121, 2: 58, -1: 39, 1: 64, -2: 15, 3: 39, 4: 6}"
38,4,-2,"{-1: 41, 0: 112, 2: 36, 1: 70, 3: 41, -2: 41, 4: 10}"
44,5,-2,"{0: 132, -1: 32, 2: 79, 1: 80, -2: 3, 3: 39, 4: 26, 5: 14}"
76,5,1,"{0: 226, 1: 125, -1: 81, 2: 104, 3: 64, 4: 30, 5: 47, -2: 16}"
86,5,-2,"{0: 261, -1: 69, -2: 56, 1: 153, 2: 87, 3: 75, 4: 64, 5: 18}"
67,5,-2,"{0: 232, 1: 115, 2: 92, -1: 51, 3: 47, 4: 34, 5: 37, -2: 4}"
65,4,-1,"{0: 246, -1: 84, 1: 117, 2: 55, 3: 47, -2: 13, 4: 32}"
54,4,1,"{0: 135, 1: 95, 2: 61, -1: 65, 3: 57, -2: 33, 4: 32, -3: 17}"
58,5,-2,"{0: 153, 1: 115, -1: 45, 2: 85, 3: 62, -2: 18, 4: 37, 5: 16}"
75,5,-1,"{0: 207, 1: 123, 2: 100, -1: 91, 3: 84, 4: 65, -2: 3, 5: 11}"
54,5,-1,"{1: 123, 0: 147, 2: 67, -1: 34, 3: 84, 4: 16, 5: 19, -2: 5}"
38,4,-2,"{0: 136, 1: 64, -1: 42, 2: 41, 3: 42, -2: 23, 4: 3}"
98,6,-1,"{1: 171, 0: 221, -1: 113, 2: 141, 3: 80, 4: 91, -2: 14, 5: 37, 6: 23}"
58,5,1,"{1: 97, 0: 164, 2: 91, -1: 52, 3: 54, 4: 33, -2: 10, 5: 30}"
56,4,-1,"{0: 195, -1: 51, 2: 72, -2: 45, 1: 97, -3: 11, 3: 27, 4: 15}"
90,6,-1,"{0: 213, 1: 202, -1: 50, 2: 121, 3: 83, 4: 59, 5: 31, -2: 22, 6: 38}"
36,4,-1,"{0: 147, -1: 27, 2: 52, -2: 2, 1: 70, 3: 26, 4: 9}"
61,5,-2,"{0: 236, 1: 113, -1: 60, 2: 73, -2: 14, 3: 41, 4: 17, 5: 4}"
67,5,-2,"{0: 176, 1: 115, 2: 102, -1: 73, 3: 59, 4: 39, -2: 18, 5: 30}"
98,5,1,"{0: 331, 1: 155, -1: 90, 2: 112, 3: 68, 4: 58, -2: 24, 5: 53}"
62,5,-1,"{0: 213, 1: 118, -1: 43, 2: 83, 3: 46, -2: 7, 4: 35, 5: 22}"
62,5,-2,"{0: 178, 1: 114, 2: 74, -1: 83, 3: 53, 4: 32, -2: 18, 5: 15}"
36,5,-2,"{2: 54, 0: 80, -1: 19, 1: 82, -2: 24, 3: 60, 4: 9, 5: 5}"
123,5,-2,"{0: 362, 1: 238, 2: 153, -1: 124, 3: 82, -2: 26, 4: 63, 5: 68}"
64,4,-3,"{0: 183, -1: 61, 1: 119, 2: 51, 3: 46, 4: 62, -2: 48, -3: 15}"
134,5,-1,"{0: 394, 1: 216, 2: 131, -1: 160, -2: 55, 3: 94, 4: 68, 5: 97}"
59,4,-2,"{0: 179, 1: 92, -1: 71, 2: 81, 3: 50, -2: 21, 4: 46}"
50,5,-2,"{1: 102, 0: 155, 2: 56, -1: 29, 3: 68, 4: 20, -2: 16, 5: 13}"
40,4,-1,"{1: 80, 0: 131, -1: 26, 2: 55, 3: 24, 4: 42, -2: 11}"
30,4,-1,"{0: 86, 1: 62, 2: 52, -1: 28, 3: 32, 4: 19}"
53,4,-2,"{0: 203, 1: 94, -1: 52, -2: 11, 2: 55, 3: 53, 4: 18}"
103,5,-2,"{0: 269, -1: 144, 1: 149, 2: 147, 3: 76, 4: 86, -2: 21, 5: 44}"
48,5,-1,"{1: 95, 0: 165, -1: 25, 2: 70, 3: 39, 4: 41, 5: 6}"
82,5,-2,"{0: 174, 1: 154, 2: 134, 3: 95, -1: 94, 4: 58, -2: 6, 5: 32}"
