turns,max_tiles,min_tiles,piece_distributions
59,5,-8,"{8: 1, -4: 2, 2: 3, 32: 1, 4: 1, -8: 1}"
60,4,-2,"{-2: 2, 4: 3, 2: 2, 16: 2}"
96,5,2,"{2: 3, 4: 3, 32: 1, 8: 1, 16: 1}"
68,6,-2,"{2: 2, 4: 2, -2: 2, 8: 1, 16: 1, 64: 1}"
27,4,-2,"{4: 3, 8: 3, -2: 1, 16: 1, 2: 1}"
64,4,-2,"{2: 2, 8: 3, -2: 1, 4: 2, 16: 1}"
45,4,-4,"{2: 4, 8: 3, 16: 1, -4: 1}"
59,5,-2,"{2: 2, 4: 2, -2: 2, 8: 2, 32: 1}"
70,5,2,"{8: 1, 16: 2, 2: 2, 4: 3, 32: 1}"
85,6,-2,"{4: 2, 8: 2, 2: 1, 64: 1, -2: 2, 16: 1}"
59,5,-4,"{2: 2, 4: 2, 8: 1, -4: 1, -2: 2, 32: 1}"
58,5,-2,"{8: 3, 2: 2, 32: 1, 4: 2, -2: 1}"
102,6,-4,"{4: 2, 2: 3, 32: 1, 64: 1, 8: 1, -4: 1}"
132,6,-2,"{-2: 1, 16: 2, 4: 1, 32: 1, 64: 1, 2: 2, 8: 1}"
39,4,-2,"{2: 1, 4: 3, 16: 2, 8: 2, -2: 1}"
16,3,-4,"{2: 3, -4: 1, 4: 3, 8: 1, -2: 1}"
110,6,-8,"{4: 3, -2: 1, -8: 1, 8: 1, 64: 1, 2: 2}"
61,5,-2,"{-2: 1, 32: 1, 4: 3, 16: 1, 8: 1, 2: 2}"
45,5,-4,"{-2: 3, -4: 1, 16: 1, 8: 1, 4: 1, 32: 1, 2: 1}"
31,4,-2,"{2: 3, 8: 2, -2: 1, 4: 2, 16: 1}"
20,3,-4,"{8: 2, 4: 2, -2: 2, -4: 2, 2: 1}"
57,5,-2,"{-2: 1, 32: 1, 8: 2, 4: 2, 16: 1, 2: 2}"
57,4,-4,"{2: 4, 8: 2, -4: 1, 16: 1, 4: 1}"
47,5,2,"{2: 4, 4: 2, 32: 1, 16: 1, 8: 1}"
25,4,-2,"{2: 2, 16: 1, -2: 3, 4: 2, 8: 1}"
63,4,-4,"{-2: 1, 16: 1, 4: 2, -4: 1, 2: 3, 8: 1}"
58,4,-2,"{-2: 1, 8: 1, 2: 3, 4: 3, 16: 1}"
49,4,-4,"{2: 3, 4: 2, 8: 1, -4: 1, 16: 1, -2: 1}"
17,3,-4,"{2: 3, 4: 3, -2: 1, 8: 1, -4: 1}"
55,4,-4,"{-4: 1, 16: 2, -2: 3, 8: 2, 4: 1}"
53,4,-2,"{2: 4, 8: 2, 16: 1, -2: 1, 4: 1}"
73,5,-4,"{2: 3, 32: 1, 4: 2, 16: 1, -4: 1, 8: 1}"
50,5,2,"{2: 5, 16: 1, 32: 1, 4: 2}"
75,6,-2,"{2: 2, 4: 2, 8: 2, -2: 2, 64: 1}"
59,4,-2,"{-2: 3, 8: 3, 2: 1, 16: 1, 4: 1}"
79,5,-4,"{2: 1, 4: 2, -2: 3, 32: 1, 8: 1, -4: 1}"
24,4,-2,"{8: 3, 16: 1, 2: 2, 4: 2, -2: 1}"
94,5,-2,"{-2: 1, 4: 1, 2: 2, 16: 2, 8: 2, 32: 1}"
103,6,-2,"{8: 1, 4: 3, -2: 1, 2: 2, 16: 1, 64: 1}"
56,5,2,"{8: 2, 4: 2, 2: 3, 16: 1, 32: 1}"
56,5,-2,"{2: 3, 4: 2, 32: 1, 8: 2, -2: 1}"
38,4,-2,"{2: 3, 8: 2, 4: 2, -2: 1, 16: 1}"
56,5,-4,"{4: 2, -2: 2, -4: 1, 32: 1, 8: 1, 16: 1, 2: 1}"
48,5,-2,"{-2: 4, 8: 2, 2: 1, 4: 1, 32: 1}"
131,6,2,"{2: 3, 32: 2, 8: 2, 64: 1, 4: 1}"
47,4,-4,"{2: 3, 8: 4, 16: 1, -4: 1}"
58,4,2,"{2: 3, 4: 3, 8: 2, 16: 1}"
51,5,-4,"{-2: 2, 8: 1, 2: 3, -4: 1, 32: 1, 4: 1}"
75,4,-4,"{4: 2, 2: 2, 8: 3, 16: 1, -4: 1}"
22,4,-2,"{-2: 1, 4: 1, 2: 4, 8: 2, 16: 1}"
34,3,-4,"{-2: 2, -4: 1, 2: 3, 4: 2, 8: 1}"
51,4,-2,"{2: 2, 8: 2, -2: 2, 4: 2, 16: 1}"
34,4,-2,"{4: 3, 16: 1, -2: 2, 8: 2, 2: 1}"
77,5,2,"{2: 3, 16: 1, 4: 3, 32: 1, 8: 1}"
50,5,-2,"{2: 2, 8: 2, -2: 2, 32: 1, 4: 2}"
54,5,-4,"{2: 1, 32: 1, -2: 1, 4: 2, 16: 2, -4: 1, 8: 1}"
78,5,-2,"{-2: 3, 8: 1, 16: 2, 32: 1, 4: 2}"
42,5,2,"{2: 3, 4: 3, 8: 1, 32: 1, 16: 1}"
31,4,-2,"{-2: 3, 16: 1, 2: 2, 4: 2, 8: 1}"
86,5,-2,"{2: 2, 8: 3, 4: 1, 32: 1, 16: 1, -2: 1}"
83,5,-2,"{4: 2, 2: 1, -2: 2, 32: 1, 8: 2, 16: 1}"
64,5,2,"{2: 2, 8: 2, 4: 4, 32: 1}"
58,5,2,"{16: 1, 2: 3, 4: 3, 32: 1, 8: 1}"
49,4,-4,"{-4: 1, 8: 2, 2: 3, 16: 1, 4: 2}"
69,5,-4,"{2: 3, 32: 1, 8: 1, 16: 1, -4: 1, -2: 1, 4: 1}"
44,4,2,"{2: 4, 4: 3, 16: 1, 8: 1}"
85,5,2,"{8: 3, 4: 1, 2: 3, 32: 1, 16: 1}"
78,5,2,"{2: 3, 8: 2, 16: 1, 32: 1, 4: 2}"
101,5,-2,"{2: 2, 8: 2, 4: 2, 32: 1, -2: 1, 16: 1}"
50,5,-2,"{-2: 4, 4: 1, 8: 3, 32: 1}"
85,5,-2,"{4: 2, 32: 1, 2: 2, 8: 2, -2: 1, 16: 1}"
57,4,-4,"{-2: 1, 4: 3, 2: 2, 16: 1, -4: 1, 8: 1}"
35,5,-4,"{2: 3, 4: 1, -2: 1, -4: 1, 32: 1, 8: 2}"
50,4,-2,"{8: 3, 4: 3, -2: 2, 16: 1}"
70,5,-2,"{2: 1, 4: 3, -2: 1, 8: 2, 32: 1, 16: 1}"
51,5,-2,"{-2: 2, 8: 2, 2: 1, 4: 3, 32: 1}"
43,5,-2,"{8: 1, 16: 1, 2: 2, 4: 3, -2: 1, 32: 1}"
87,6,-2,"{-2: 1, 8: 3, 2: 2, 16: 1, 64: 1, 4: 1}"
17,3,-2,"{2: 2, 4: 2, -2: 3, 8: 2}"
72,5,-2,"{4: 3, 8: 3, 2: 1, 32: 1, -2: 1}"
46,5,-2,"{-2: 2, 8: 2, 4: 3, 32: 1, 2: 1}"
